制服,紧身衣,你穿着某种紧身衣。它可能是运动式、迷彩式、性感式，或者古怪的样式（豹纹之类），具体由你决定。（应用女仆制服规则时，视为围裙）
制服,旗袍,你穿着一件中式旗袍。（应用女仆制服规则时，视为连衣裙）
制服,盔甲,你的制服其实是某种制式金属护甲。
制服,束缚,你的制服是光亮的橡胶或皮革材质，看起来总有些可疑。
制服,迷你裙,你的裙子非常之短，让人几乎能看到里面的东西。
制服,割烹着,你穿着日本传统的女佣装，包括一套和服和围裙。
徽记,颅骨,你的头饰、围裙、领带、额头，或胸前有一个颅骨标志。
徽记,蝙蝠,你的头饰、围裙、领带、额头，或胸前有一个蝙蝠图案。
徽记,十字架,你的头饰、围裙、领带、额头，或胸前绣着一个十字架。
徽记,阴阳,你的头饰、围裙、领带、额头，或胸前有一个阴阳符号。
徽记,星星,你的头饰、围裙、领带、额头，或胸前有个五角或六角星标志。
徽记,花色,你的头饰、围裙、领带、额头，或胸前饰有扑克牌的某种花色（红心、方块、梅花，或黑桃）。
不良,香烟,你总是衔着一根纸烟，或咬着一支雪茄。
不良,纹身,在你身体的某个部位（或甚至全身）有个纹身。
不良,太阳镜,你总是戴着一幅太阳镜或墨镜，即使夜晚也不例外。
不良,恶形,你总挂着一幅不愉快的表情（好像马上就会发怒或揍人的样子），使初次见面的人很难与你交流。
不良,穿刺,你身上有穿刺，不只是耳朵，可能还有额头、嘴唇、眼皮、下巴等。
不良,粗口,你谈吐粗野，像个黑手党或街道头目。
口癖,南方,上海话或者广东腔调？英文版是 Southern，原版估计说的是大阪腔。
口癖,京腔,原文 British.日文版可能是说东京口音。
口癖,火星语,你来自中文和其它语言混杂的国家或社会（有吗？）。总之，你说话洋腔洋调，语法诡异，水平和港台明星差不多。选择一个国家后模仿之。
口癖,喵喵,你每次讲话都夹杂着猫叫似的拟声词。
口癖,侠者,你讲话就像古装武侠剧里的人物。别忘了说“在下”并处处摆出古董架子。
口癖,外国人,你的女仆生于海外。为她选择一个出生国家。
发型,长鬃发,你的头发做成长长的螺旋状弯曲。
发型,团子,你头发很长，做成“团子”束在头顶。
发型,和风,你有着和风发型，一种在日本很流行的标志性短发。
发型,卷发,你有一头公然挑战重力的卷发。
发型,单眼,你的头发垂下来遮住一只眼睛。
发型,天线,你头上长着有自己意志的天线或触角。
饰物,项圈,你的标准行头之外还有一只项圈，就像狗用的那种。是否有长钉由你选择。
饰物,长丝带,你的头发用一条长长的丝带束住。
饰物,长钉,你的女仆装上装有长钉。
饰物,镣铐,你的女仆装上装有叮当作响的镣铐。
饰物,皮手套,你常戴一副黑色皮手套，可能是无指手套或者上面装了铁钉，随你喜欢。
饰物,宠物,你有一只猫、蛇，乌鸦或其它小型动物作宠物。它通常待在你手上或肩头。
关系,手足,你与另一名玩家角色有血缘关系。
关系,青梅竹马,你与另一名角色自幼相识，很早以前就是好朋友。
关系,导师,你将另一名角色尊为导师，甚至是父亲或母亲一般的存在。
关系,良性竞争,你和另一个角色曾相互竞争，你总是有意无意地把自己和对方比较。但你们仍然是朋友（或至少能认可彼此）。
关系,旧好/情敌,你曾和另一名约会。或许现在感觉还在。或者，你也可以设定你们两人同时追求另一个人。
关系,仇敌,另一名角色曾亏欠你。她可能甚至没意识到这一点。但你绝不会忘记。
性反常,花痴,你对物理上的爱情格外热衷。具体程度（及扮演分寸）由玩家与 GM 协商。
性反常,施虐者,折磨他人令你格外兴奋。
性反常,受虐者,受他人折磨令你格外兴奋。
性反常,百合,你只对同性感兴趣，这很好（或许很令人期待）……但为你着想，还是返回“11”比较好。
性反常,正太控,你的兴趣只针对那些……年轻人。你可以决定具体年龄范围。
性反常,裸露症,你热衷展示自己的全/半裸体。“天体”不仅是一个词，更是一种生活方式。
犯罪倾向,杀手,你有个坏习惯：杀人。
犯罪倾向,纵火狂,你热爱纵火。你甚至可能将宅邸化为灰烬……
犯罪倾向,盗窃癖,你情不自禁地想要偷窃物品，无论它对你是否有用。
犯罪倾向,药瘾,你对某种药物上瘾，那可能说麻醉品、兴奋剂，或仅仅是安眠药。无法摄入药物会让你产生断药反应。
犯罪倾向,御宅族,你沉迷于追求某一类物品，为此完全无视常识。
犯罪倾向,跟踪狂,你经常跟踪某人。目标可以从其它玩家角色或主人中选择。
外伤,补丁,你全身遍布缝针留下来的伤痕。
外伤,独眼,你只有一只眼睛。你可自行决定是否要佩戴眼罩及其样式。
外伤,烧伤,你的面部或身体上留存有看起来很疼的灼烧伤疤。
外伤,鞭痕,你的后背或其它部位遍布新近的鞭打留下的伤痕（这伤痕可能还在不断更新？）
外伤,绷带,你身上有很多绷带和石膏敷料，掩盖着下面无法治愈的伤痕。
外伤,目盲,你很久以前就失去了视力（对人物数据没有影响）。
悲剧爱情,分手,你的爱情生活总是不如意，现在你对此已经听天由命。
悲剧爱情,恋人之死,你的爱人已经去世。此后你一直害怕开始一段恋情。
悲剧爱情,杀死爱人,出于某种原因，你亲手杀死了你的爱人。此后你一直害怕开始一段恋情，或害怕自己追求的目标。
悲剧爱情,前妓女,你曾经廉价出卖自己的肉体。一段复杂的往事。
悲剧爱情,背叛,你曾被恋人背叛。此后你一直害怕开始一段恋情，或无法放下戒备。
悲剧爱情,尾行恐惧,你曾是某个跟踪狂的受害者。从此你很难信任异性……或者也许是同性。
黑暗往事,前科,没人能看出你曾是个少年犯。所幸目前（至少宅邸里）无人知道这件事。
黑暗往事,前杀手,你曾是个雇佣杀手。尽管过了很久，你的技艺依然犀利。
黑暗往事,失忆,你失去了儿时的记忆。（GM 应该在游戏中逐渐揭示角色的身世）
黑暗往事,恶名昭著,你曾与一些坏家伙有涉。由于种种误会，你在下层社会是个活的传说。
黑暗往事,被通缉,你因重罪被警方通缉。你可以决定你的角色是否是无辜的。
黑暗往事,离家出走,你未经允许离开了你真正的家庭。
精神创伤,自杀企图,过去，你曾数次企图自杀。
精神创伤,弑亲,无论出于什么原因，你应该为你双亲的死亡负责。
精神创伤,见证父母死亡,你亲眼目睹了自己父母（或其中之一）的死亡。
精神创伤,手足相恶,你和你的姐妹（们）彼此仇视。
精神创伤,家庭破裂,由于某些原因（很可能就是因为你），你的家庭破裂了。
精神创伤,虐待,你从小到大受到家人的虐待。
秘密工作,刺客,尽管打扮成女仆的模样，你其实是一名冷血的雇佣杀手。
秘密工作,黑客,在女仆工作之余，你还是一名黑客，精于攻击电脑系统。
秘密工作,科学家,你不仅是个女仆，还是个某种疯狂科学家。
秘密工作,医生/药剂师,除了女仆技艺以外，你还在医学方面造诣颇深。
秘密工作,同人志作者,女仆工作闲暇时你会创作同人志。你自己决定同人志的类型。
秘密工作,创作者,你不仅是个女仆，还是个专家级的画家、诗人或作家等等。你自己决定创作流派。
组织成员,邪恶集会,你隶属于一个邪恶的秘密集会，你们的目标是统治或毁灭世界。
组织成员,秘密特工,你隶属某个潜伏在政府或国家内的秘密组织，某种高智商特工或间谍。
组织成员,教派成员,你是某个古怪的教派的一员。你可能是信徒，领袖，甚至创立者。
组织成员,政治团体,你属于某个政治团体，这种团体的政治纲领通常是几近疯狂的。
组织成员,影氏族,你隶属某个历史悠久的组织。你可能是个忍者，魔法师，功夫刺客等等。
组织成员,政府机关,你是为政府工作的女仆。你可能是个护士，秘探，或某个政治家的秘书。
变形者,狐狸,你其实是只狐狸。你能随意展示或隐匿你的耳朵和尾巴。
变形者,蜘蛛,你其实是只蜘蛛。你能变成一人大小的蜘蛛，或者能随意变出六只手臂。
变形者,乌鸦,你其实是只乌鸦。你能随意展示或隐匿你的黑色翅膀。
变形者,兔子,你其实是只兔子。你有兔耳和尾巴。
变形者,虎/狮,你其实是某种猎食性猫科动物。你能随意展示或隐匿你的耳朵、尾巴、尖牙和利爪。
变形者,蛇,你其实是条蛇。你能转化为纳迦形态，把下半身变成蛇尾。
怪物,人鱼,你其实是只人鱼。你喜爱水，且你的耳朵有时看上去像鱼鳍。
怪物,僵尸/木乃伊,你其实是具活动的尸体。你的脸色很差，身上有显著的伤口。
怪物,狼人,你是个狼人（或虎人）。无论是否情愿，你在满月时会变成狼（或虎）。
怪物,魅魔,你是个魅魔，一种激发人类欲望以捕猎他们的恶魔。你有一些可以随意展示或隐匿的恶魔体征（由你指定）。
怪物,幽灵,你是个幽灵。你可能是宅邸主人的祖先，或只是个曾在此工作的女仆。
怪物,死神,你是个死神，周身环绕着死亡的气息。你出现在这里可能是为了带某个人到另一个世界，也可能是出于某些更世俗化的理由。
魔法,女祭司,你能使用一些基于某种宗教仪式的魔法。施展魔法需要各种宗教符号。
魔法,阴阳师,你使用基于道教的东方魔法。你的关键道具是咒符，一种用毛笔写上诅咒或迷咒的纸带。
魔法,占卜者,在一定限制内，你能预测未来。预言的方式多种多样。
魔法,西洋魔法师,你研究炼金术或卡拉巴，或其它西方巫术。你是个持手杖的传统魔法师。
魔法,恶魔召唤者,你知道召唤恶魔的咒语。你的工具包括魔法环，黑斗篷和古老的书籍。
魔法,死灵法师,你的魔力使你能控制死者的灵魂和肉体。行此事需要黑衣和一些颅骨。
荒诞,外星人,你来自这个宇宙的其它世界。你的身体有些异于人类的特征，由你指定。
荒诞,人偶,你被某个邪恶组织收纳在了一具傀儡之中。你的外形可能会有些特殊。
荒诞,外逃忍者,你逃出了自己的忍之里。
荒诞,魔法少女,为了修行，你从自己那充满魔法的国度来到这里。
荒诞,妖精,你就是妖精传说的一部分。你可以是个皮克精，或某些更特别的东西。
荒诞,变种人,你的身体发生了某种强烈的变异。
